Sujeto;Texto
L8H;Federico en la cama abrazado a la almohada se despierta a las 7,30, va al baño donde se lava los dientes, se peina se pone gel, se lava la cara, se higieniza digamos, y bueno el baño es blanco tiene toallas rosa, y todo lo demas es blanco, creo que hay una planta al lado del lavatorio despues se va a su cocina toda blanca tambien, toda blanca , pone la pava para prepararse el mate, se hace dos tostadas que las come con qeueso blanco y dulce de leche, antes abre su ropero y tiene la posibilidad de ponerse dos camisas, una celeste de cuadros azules y la otra a rayas, se pone la de cuadros azules, luego sale a las 8, termina de higienizarse desayunar y demas y sale hacia la puerta de su edificio que tiene escalinatas que dan a la vereda, sale con vestido de jean, una remera negra y un bolso al hombro, Vive en la calle bacacay en la zona de caballito, asique se dirige a la estacion caballito para tomarse el tren en el barrio de once, llega a su trabajo, el tren demora 15 min en llegar, llega a su trabajo, saluda a sus compañeros, se prepara un café, abre su computadora, y empieza a devolver llamados. Cuando termina su jornada laboral el toma el subte . No recuerdo en que momento es que aparece una calle, cuando toma el tren o el subte, bueno la cuestion es que vuelve a la casa, decide limpiar el patio, se pone a probar dos videos que compro la noche anterior uno de aventuras y el otro no me acuerdo de que, se aburre jugando a eso, se pone junto a la ventana a tomar aire y a leer.
L8H;Federico se habia comprado dos juegos, lo aburrieron y entonces decidio ir a leer, me lo acuerdo sentado como en un sillon jugando y despues en un escritorio leyendo, y no me acuerdo que pasaba, si iba a trabajar en bicicleta… la verdad no me acuerdo.
L9H;se levanta se desayuna, toma el subterraneo en carranza para ir a trabajar en recoleta, llama a los contactos para hacer pedidos, toma cafe, revisa los mails, al mediodia hace reunion de lanzamientos, en este caso toallas femeninas, pide la comida, el deluvery, a la tarde va al super y compra verduras y lacteos, llega a casa se cambia, hace deporte para hacer su recorrido de 40 min que es siempre igual. Vuelve a casa se ducha, y tiene una cita en tinder en un bar que se sienta en la barra, vuelve a la medianoche, lee el psicoanalista y se duerme
L9H;Se trata de una dama que se queda un rato en la cama al despertar, desayuna y toma su bolso para ir a trabajar, vive en un 4 piso en la calle charcas, toma el subte en carranza y va hasta recoleta,en la oficina llama a distribuidores, a las 8.30 toma cafe, lee los mails y se junta con su jefa. Al mediodia pide el delivery y tiene un lanzamiento su trabajo tiene las compras del super que mayoritariamente son los frescos o lacteos, cuando llega acasa se cambia y se pone una ropa deportiva, para caminar 40 min, lleva agua y musica Al retorno se ducha tiene una cita en tinder y va a un bar, antes de dormir lee un libro de psicologia
L9H;Federico que vive en la calle bacacay de caballito se levanta, se baña se higieniza, toma una camisa azul, se peina con gel, pone una pava de agua para tomar mate con dos tostadas con dulce de leche y queso crema, sale a la calle y toma el tren en la estacion caballito, se va al final del anden, el tren demora 15 minutos,llega el tren va a la calle saavedra en once, en su trabajo atiende los llamados, al final de la tarde vuelve a su casa limpia el patio, tambien cuando limpia todo quiere jugar a la play xq tiene dos juegos nuevos, eso no le interesa tanto, toma aire fresco y lee un libro.Son todos estudiosos
L9H;Federico tiene una vivienda-estudio en la calle bacacay de Caballito Elige camisa azul para ir al trabajo Toma una ducha y se peina con gel desayuna con jugo de naranja mate y 2 tostadas con crema y dulce A las 8.00 sale a su trabajo tomando con su bolso y sube al tren en la estacion de caballito en el final del anden le toma 15 min llegar calle Saavedra de Once en su trabajo atiende llamados A su vuelta limpia el patio, juega a la play  que lo aburre sale a correr y tambien lee un libro
L10H;Juana. se despíerta despues de una noche de sueño, desayuna tostadas y se va a tomar el subte para trabajar. Antes de comenzar cuando llega a la oficina habla con algunos proveedores, luego tiene una reunion al mediodia con su superior jefa, porque tienen un lanzamiento de nuevas toallitas higienicas, luego cuando termina su trabajo se dirige pasa x el supermercado, paga creo q en efvo o tarj? efectivo. Llega a su casa, ordena sus cosas, sale a correr es una rutina que hace normalmente luego se detiene en un cafe porque habia organizado una cita por tinder y va a la cita en un cafe que se llama michingue, luego cuando vuelve a la casa y se acuesta lee un libro creo que de psicologia, hace algo con el celular o con sus redes sociales y bueno finalmente se duerme
L10H;Una chica que vivia en la calle Charcas,se me ocurre que era 2700 la altura, en un cuarto piso. Se levanta para ir a trabajar siete y media , toma café , se va en subte para ir hasta la estación Carranza donde trabaja. Tiene una reunión antes de comenzar digamos de sentarse en su escritorio con proveedores, después comienza a trabajar, tiene una reunión por una cuestión de marketing, del lanzamiento de algún producto, nose si toallitas higienicas o algo asi. Después sale a comprar comida, cuando regresa a la casa por la tarde sale a correr, se encuentra con alguien en un cafe, nose si toma cafe o una una cerveza y despues vuelve a la casa.
L10H;Se levanta a las siete y media de la mañana, vive en la calle Bacacay en Flores. Elige una camisa, entre dos opciones que tiene de las varias, una azul y otra a rayas coloradas elige la de rayas coloradas, luego va al baño donde se ducha , se lava los dientes Luego va a la cocina y pone la pava para unos mates o café y hace una tostada con queso y dulce de leche A las 8 sale de su casa y va caminando hasta la estación Caballito,y llega el tren que va a Once. El trabaja por Once no recuerdo si la calle Saavedra . llega a la oficina, saluda y se sienta a trabajar . Empieza a recibir llamados telefónicos, luego cuando termina el trabajo regresa a la casa hace algo como pintando o haciendo algo. Prueba un jueguito con el joystick que se habia comprado, despues se aburre de eso decide ponerse a leer un libro y mirar por la ventana estar en otra cosa, y a pensar que va a hacer para la cena
L10H;Era de un muchacho que se levantaba siete y media, desayunaba y a las ocho  ya estaba en la calle. Iba a la oficina….
